site_id,rain_gain,et_coefficient,drainage_rate,field_capacity,wilting_point,saturation,rmse,r2,label,latitude,longitude,land_cover,soil_type
ALIC1,0.05,0.0224655859192302,0.1445880479499707,40.643867503803335,2.841685519762138,52.29,2.16290529722085,0.9034149044793156,Alice Holt,51.153551,-0.858232,Broadleaf woodland,Mineral soil
BUNNY,0.1997245250870063,0.051773292719775,0.7989400889779229,24.087818602503987,1.0,35.7,3.845617581039576,0.6920451711822291,Bunny Park,52.86073,-1.12685,Arable and horticulture,Mineral soil
CHIMN,0.2822992291875568,0.0747894789006426,0.4933473929855132,46.20280920094568,10.310435912042175,60.06,3.1123081839822784,0.9060079178866112,Chimney Meadows,51.708021,-1.4787658,Improved grassland,Calcareous mineral soil
COCLP,0.1547351795201563,0.0467352653402314,0.1069813199568495,49.216450998144815,10.357761109713255,70.245,4.634863731969834,0.7829118274153108,Cockle Park,55.216013,-1.6943736,Arable and horticulture,Mineral soil
ELMST,0.1760748889733334,0.034019929526976,0.0459425006533877,36.57688980515357,4.86239586306249,57.225,3.2797152733665405,0.8579407821773982,Elmsett,52.094647,0.9930645,Arable and horticulture,Calcareous mineral soil
FIVET,0.388795287815401,0.1076868883239207,0.9743474914499533,57.25791448300766,1.0135936014403573,81.06,6.135539506755163,0.4845017361233373,Fivemiletown,54.298468,-7.291954,Arable and horticulture,Mineral soil
GLENW,0.4542619096916631,0.10850575018885,0.5627499963579958,58.59966928078248,1.0487955214233555,99.645,10.049447987071698,0.2927060054817854,Glenwherry,54.838087,-6.0045994,Improved grassland,Organic soil
HLACY,0.2395477511350818,0.0618379759296078,0.5546045520416122,31.546644126853582,1.0153789150617667,43.47,2.620371874221175,0.894026643067346,Holme Lacy,52.02088,-2.6621054,Arable and horticulture,Mineral soil
LIZRD,0.0925411843486712,0.0128507596428865,0.0392594986104855,49.11588541713382,19.820753492227396,78.015,7.436274118329157,0.4713518337262079,The Lizard,50.03266,-5.19999,Heather grassland,Mineral soil
MOORH,0.34295426085404,0.1227321658568614,0.6516553408341346,69.01087689678604,1.0,98.91,7.669396574228155,0.6866377056961579,Moor House,54.659417,-2.4678,Acid grassland,Mineral soil
NWYKE,0.1969797832735625,0.0793335071730687,0.4029855396621464,50.33859120624623,20.0,69.19500000000001,4.091931436450007,0.8283224174219882,North Wyke,50.773479,-3.905963,Arable and horticulture,Mineral soil
ROTHD,0.2990057482735803,0.0937668257885186,0.3934602273028235,37.08206293561564,8.91626916009444,51.87,2.460654438357628,0.9220322260315692,Rothamsted,51.813787,-0.378304,Arable and horticulture,Mineral soil
SPENF,0.1034905012332131,0.0104306684677775,0.0192708087028577,22.513151019613083,10.399078169819418,48.195,3.409759013073117,0.7597294212755146,Spen Farm,53.86886,-1.31886,Arable and horticulture,Calcareous mineral soil
